"cell_id";"Acanthis_flammea";"Acanthisitta_chloris";"Acridotheres_tristis";"Anas_chlorotis";"Anthornis_melanura";"Anthus_novaeseelandiae";"Astelia_banksii";"Branta_canadensis";"Carduelis_carduelis";"Carpodetus_serratus";"Chloris_chloris";"Coprosma_acerosa";"Coprosma_arborea";"Coprosma_crassifolia";"Coprosma_grandifolia";"Coprosma_lucida";"Coprosma_macrocarpa";"Coprosma_parviflora";"Coprosma_repens";"Coprosma_rhamnoides";"Coprosma_robusta";"Cordyline_australis";"Coriaria_arborea";"Corokia_cotoneaster";"Dacrydium_cupressinum";"Dysoxylum_spectabile";"Freycinetia_banksii";"Fringilla_coelebs";"Gaultheria_antipoda";"Geniostoma_ligustrifolium";"Gerygone_igata";"Hemiphaga_novaeseelandiae";"Knightia_excelsa";"Leptecophylla_juniperina";"Leptospermum_scoparium";"Leucopogon_fasciculatus";"Lophomyrtus_bullata";"Meleagris_gallopavo";"Melicytus_ramiflorus";"Muehlenbeckia_complexa";"Myrsine_australis";"Nestegis_lanceolata";"Parsonsia_heterophylla";"Passer_domesticus";"Petroica_australis";"Petroica_macrocephala";"Phasianus_colchicus";"Phormium_tenax";"Pittosporum_tenuifolium";"Platycercus_eximius";"Porphyrio_melanotus";"Prosthemadera_novaeseelandiae";"Pseudopanax_arboreus";"Pseudopanax_crassifolius";"Pseudopanax_lessonii";"Rhipidura_fuliginosa";"Rhopalostylis_sapida";"Rubus_australis";"Schefflera_digitata";"Solanum_mauritianum";"Sturnus_vulgaris";"Styphelia_nesophila";"Tadorna_variegata";"Toronia_toru";"Turdus_merula";"Turdus_philomelos";"Vitex_lucens";"Zosterops_lateralis";"Acer_pseudoplatanus";"Alectryon_excelsus";"Alseuosmia_macrophylla";"Archontophoenix_cunninghamiana";"Asparagus_asparagoides";"Asparagus_scandens";"Beilschmiedia_tarairi";"Beilschmiedia_tawa";"Berberis_glaucocarpa";"Callaeas_cinereus";"Cestrum_nocturnum";"Coprosma_areolata";"Coprosma_propinqua";"Coprosma_rigida";"Corynocarpus_laevigatus";"Cotoneaster_glaucophyllus";"Dacrycarpus_dacrydioides";"Elaeocarpus_dentatus";"Ficus_carica";"Fuchsia_excorticata";"Gallirallus_australis";"Griselinia_littoralis";"Griselinia_lucida";"Hedera_helix";"Hedycarya_arborea";"Hedychium_gardnerianum";"Ileostylus_micranthus";"Lantana_camara";"Leycesteria_formosa";"Ligustrum_lucidum";"Ligustrum_sinense";"Litsea_calicaris";"Lonicera_japonica";"Macropiper_excelsum";"Meryta_sinclairii";"Mida_salicifolia";"Muehlenbeckia_australis";"Myoporum_laetum";"Myrsine_divaricata";"Myrsine_salicina";"Neomyrtus_pedunculata";"Nestegis_cunninghamii";"Nestor_meridionalis";"Paratrophis_microphylla";"Passiflora_edulis";"Passiflora_tarminiana";"Phoenix_canariensis";"Phytolacca_icosandra";"Pisonia_brunoniana";"Pittosporum_crassifolium";"Pittosporum_eugenioides";"Planchonella_costata";"Podocarpus_cunninghamii";"Podocarpus_totara";"Prumnopitys_ferruginea";"Prumnopitys_taxifolia";"Prunus_domestica";"Prunus_persica";"Psidium_cattleianum";"Rhamnus_alaternus";"Rhaphiolepis_loquata";"Ripogonum_scandens";"Rubus_cissoides";"Rubus_fruticosus";"Solanum_nigrum";"Solanum_pseudocapsicum";"Syzygium_smithii";"Trachycarpus_fortunei";"Vitis_vinifera";"Chroicocephalus_novaehollandiae";"Cyanoramphus_novaezelandiae";"Ficus_macrophylla";"Mohoua_albicilla";"Olea_europaea";"Philesturnus_carunculatus";"Solanum_laciniatum";"Aristotelia_serrata";"Ascarina_lucida";"Astelia_nervosa";"Cacatua_galerita";"Cotoneaster_coriaceus";"Elaeocarpus_hookerianus";"Malus_domestica";"Metrosideros_umbellata";"Passiflora_tetrandra";"Pennantia_corymbosa";"Pseudowintera_axillaris";"Pseudowintera_colorata";"Raukaua_edgerleyi";"Rubus_squarrosus";"Solanum_aviculare";"Weinmannia_racemosa";"Alnus_glutinosa";"Coprosma_rotundifolia";"Cotoneaster_franchetii";"Crataegus_monogyna";"Geniostoma_rupestre";"Gunnera_tinctoria";"Ilex_aquifolium";"Laurus_nobilis";"Lophomyrtus_obcordata";"Lycium_ferocissimum";"Notiomystis_cincta";"Passiflora_tripartita";"Plagianthus_regius";"Prunus_cerasifera";"Prunus_laurocerasus";"Syzygium_australe";"Arbutus_unedo";"Astelia_fragrans";"Corokia_macrocarpa";"Cyanoramphus_auriceps";"Dracaena_draco";"Fragaria_ananassa";"Isolepis_habra";"Ligustrum_ovalifolium";"Muehlenbeckia_astonii";"Muehlenbeckia_axillaris";"Myrsine_chathamica";"Phormium_colensoi";"Phyllocladus_trichomanoides";"Prunus_avium";"Pyrus_communis";"Rosa_rubiginosa";"Sambucus_nigra";"Coprosma_foetidissima";"Lepidothamnus_intermedius";"Neopanax_colensoi";"Raukaua_simplex";"Coprosma_colensoi";"Coprosma_tenuifolia";"Euonymus_europaeus";"Luzuriaga_parviflora";"Melicytus_lanceolatus";"Actinidia_chinensis";"Cyanoramphus_malherbi";"Fuchsia_perscandens";"Halocarpus_biformis";"Hymenolaimus_malacorhynchos";"Mohoua_ochrocephala";"Pentachondra_pumila";"Podocarpus_nivalis";"Androstoma_empetrifolia";"Aristotelia_fruticosa";"Berberis_darwinii";"Coprosma_cheesemanii";"Coprosma_rugosa";"Gaultheria_depressa";"Gaultheria_macrostigma";"Lepidothamnus_laxifolius";"Sorbus_aucuparia";"Tupeia_antarctica";"Alepis_flavida";"Coprosma_linariifolia";"Peraxilla_colensoi";"Peraxilla_tetrapetala";"Coriaria_plumosa";"Coprosma_depressa";"Coprosma_perpusilla";"Coprosma_pseudocuneata";"Dracophyllum_longifolium";"Tropaeolum_speciosum";"Solanum_americanum";"Acrothamnus_colensoi";"Coprosma_fowerakeri";"Coprosma_petriei";"Coriaria_sarmentosa";"Melicytus_alpinus";"Coprosma_cuneata";"Ribes_sanguineum";"Taxus_baccata";"Finschia_novaeseelandiae";"Melicytus_obovatus";"Nestor_notabilis";"Strigops_habroptila";"Astelia_nivicola";"Coprosma_serrulata";"Actinidia_arguta";"Coprosma_intertexta";"Coriaria_angustissima";"Melicytus_chathamicus"
11;0;0;473;8;30;9;0;287;388;1;0;2;0;0;1;1;0;0;7;0;6;5;6;0;2;1;0;167;0;6;161;63;1;1;3;3;0;7;4;15;3;1;0;284;13;9;176;2;0;52;407;128;4;0;4;196;2;0;1;9;276;0;335;0;218;221;1;188;0;1;6;0;2;3;0;1;3;9;0;0;2;0;0;1;3;2;0;3;11;1;0;2;2;4;0;0;1;5;3;2;12;7;0;1;3;1;0;0;0;0;6;0;1;0;0;4;1;2;1;0;0;0;0;0;0;0;0;1;1;1;0;1;3;0;0;1;0;0;4;0;2;0;7;0;4;0;0;0;2;0;1;0;1;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;12;222;0;185;26;0;30;98;7;0;0;0;0;9;2;0;0;3;11;1;5;8;0;11;6;12;225;7;9;146;54;16;2;2;4;4;17;7;5;11;5;1;124;6;36;58;1;5;0;41;75;4;6;5;137;10;0;7;4;144;1;168;3;75;67;10;116;0;4;1;0;1;0;0;12;1;1;0;0;0;0;4;4;7;5;2;4;7;2;3;0;8;8;0;0;0;0;2;0;7;11;0;3;5;3;0;3;1;1;5;0;0;0;0;5;0;5;0;0;0;1;8;1;0;0;0;0;2;7;11;0;0;0;0;1;0;0;0;0;28;0;0;0;3;0;0;0;0;0;0;0;1;0;4;0;2;2;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;0;2;0;0;3;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;28;280;0;178;28;1;73;304;20;3;0;2;1;26;18;0;0;9;15;9;3;11;1;24;19;19;446;15;19;614;321;23;2;15;14;19;169;26;10;11;4;8;356;62;294;208;8;2;161;213;585;11;19;1;611;17;7;22;2;337;0;461;0;329;267;8;388;2;12;51;0;0;3;1;21;1;7;0;0;3;0;10;3;25;17;2;11;0;16;29;1;28;3;2;0;8;1;3;30;3;20;1;11;11;0;0;11;4;3;5;11;0;0;0;1;0;4;7;0;0;4;30;11;0;1;0;0;0;20;13;1;5;0;0;0;1;0;1;0;104;0;0;2;6;0;0;0;1;5;0;0;14;6;5;20;9;0;0;39;0;12;2;1;0;1;3;0;0;2;0;0;1;0;0;0;0;9;0;1;0;0;0;0;0;0;0;4;0;0;0;1;0;15;0;4;10;10;9;0;9;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;3;226;1945;0;1285;101;0;364;1258;25;3;0;0;1;85;36;0;0;5;11;40;43;26;17;105;6;4;2047;41;33;2149;1185;59;23;98;51;8;140;50;4;36;10;5;1963;1319;1139;482;10;26;571;1298;2497;51;28;3;2494;8;2;48;6;1745;11;817;14;1925;1517;1;1671;18;15;31;0;4;0;0;57;11;222;0;0;13;1;6;3;74;26;2;58;0;41;12;16;22;1;1;0;44;7;14;32;13;31;0;2;34;1;11;29;9;10;995;17;2;0;1;12;0;2;20;0;0;96;53;62;2;8;0;0;12;28;30;8;4;3;0;4;3;0;4;0;983;0;185;14;45;0;1;2;10;27;1;0;14;25;27;39;49;0;4;75;3;8;2;5;1;1;3;2;1;0;113;1;8;2;2;0;9;26;0;533;0;0;0;0;0;3;0;3;25;0;0;5;0;18;0;14;10;0;10;0;7;36;0;0;1;1;20;0;7;0;11;12;3;1;2;10;1;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;9;157;1323;1;1474;39;0;457;943;57;2;3;2;1;77;51;0;0;1;23;41;15;19;3;64;10;36;1600;19;89;1920;823;111;27;40;50;3;44;98;5;65;8;14;1252;645;956;311;11;35;446;1049;1842;22;52;8;2088;40;0;31;1;882;2;804;5;1292;983;17;1375;2;12;4;0;0;11;0;90;10;32;0;2;7;1;6;2;36;48;0;15;258;31;28;10;82;4;4;1;8;4;4;46;13;48;1;2;15;4;4;2;10;2;339;4;0;0;1;3;1;1;12;0;0;8;63;29;2;1;0;0;4;79;20;5;3;0;0;0;1;0;0;0;695;0;3;1;34;3;1;0;3;9;0;0;2;22;25;28;9;0;3;33;1;5;3;4;0;1;1;1;3;1;0;1;0;1;0;0;0;29;0;48;1;1;0;0;0;1;0;1;4;0;0;3;0;14;0;1;7;12;18;0;7;0;0;0;0;1;91;0;0;1;3;0;1;1;3;0;0;0;0;4;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;25;441;1;319;44;0;39;294;8;1;1;0;3;2;0;0;0;4;8;4;7;4;4;2;5;0;436;0;5;413;270;2;1;4;1;2;88;6;6;3;0;1;537;48;103;193;1;4;6;189;487;3;0;0;579;4;1;4;3;468;0;469;0;472;326;3;409;0;3;0;0;2;0;0;2;2;1;0;0;2;1;8;1;4;0;0;2;99;2;1;2;5;0;0;0;0;2;1;0;3;10;0;0;5;3;5;0;4;0;11;4;0;0;1;1;0;8;1;0;0;7;1;3;0;0;0;0;2;1;3;0;3;0;1;2;0;0;0;2;83;0;0;0;1;0;1;0;0;3;1;0;4;4;1;1;0;3;0;4;0;2;0;0;0;0;0;0;2;3;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;5;1;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;11;166;0;87;29;1;65;553;20;0;3;0;0;44;23;0;2;12;2;20;9;4;6;23;14;33;184;5;39;480;218;31;0;2;4;8;2;47;4;13;2;12;704;5;78;167;11;1;114;438;461;6;31;5;512;22;4;19;8;657;2;443;0;694;264;14;422;1;6;35;0;0;13;5;21;0;0;0;4;1;0;22;0;10;17;1;14;0;18;14;1;39;9;1;2;1;0;0;0;4;26;13;0;13;0;4;27;1;7;3;0;0;0;1;2;0;17;9;0;0;8;30;1;0;0;1;0;0;30;21;0;6;0;0;0;0;0;0;0;11;0;0;2;10;0;2;0;1;3;0;0;1;1;21;19;11;0;6;17;0;0;0;0;0;9;0;0;0;13;2;0;0;0;0;0;0;18;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;7;14;2;19;0;9;3;0;0;0;0;7;0;5;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;2;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;3;169;1117;38;765;120;0;600;1351;44;3;10;0;1;125;32;0;4;48;19;52;35;18;6;59;32;39;1671;25;57;2267;1597;79;4;31;10;20;48;108;8;34;14;23;1916;762;999;493;37;21;656;1269;2452;6;51;19;2349;50;3;63;30;1923;1;1357;0;2290;1535;42;1726;8;33;60;0;1;39;3;58;12;0;1;9;5;0;49;2;49;34;4;35;0;51;28;19;86;41;6;0;24;0;4;6;10;88;4;0;25;6;12;29;3;33;17;14;0;2;2;12;1;37;46;0;0;52;49;5;0;2;1;0;3;59;40;1;23;6;3;1;1;0;1;1;500;1;139;5;20;1;4;6;5;7;1;0;25;21;28;55;17;0;16;42;1;6;5;1;1;17;12;0;5;6;120;5;1;0;6;2;1;42;0;13;1;0;0;0;1;5;0;6;0;1;0;0;0;1;0;29;18;0;38;0;11;9;0;0;0;0;92;0;2;0;0;0;6;0;0;12;0;0;0;0;0;0;0;0;6;1;1;14;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;28;580;210;0;1335;402;0;255;806;46;7;3;0;2;40;22;0;0;0;22;18;6;10;7;21;0;0;2340;31;11;2558;1048;10;25;87;14;1;77;14;1;33;4;5;663;478;1348;123;13;14;193;420;1637;16;53;0;1670;0;2;13;0;866;29;674;0;1297;1092;0;1646;10;0;2;0;0;0;0;6;5;2;0;0;12;11;0;1;9;7;0;12;1;82;0;12;1;0;5;0;20;1;4;0;6;2;0;0;6;1;33;12;45;27;129;2;0;0;0;0;0;0;4;0;0;14;50;27;1;0;0;2;2;6;39;0;0;0;0;2;3;0;1;0;1089;0;0;2;25;0;8;41;8;55;0;0;1;11;7;76;4;1;0;19;3;6;6;0;0;0;2;0;6;0;0;0;6;4;4;0;2;48;0;103;0;0;0;0;0;43;0;8;95;0;1;2;1;60;0;37;43;8;54;4;14;27;0;0;2;18;724;0;36;77;17;9;3;22;16;32;13;42;3;24;8;13;3;35;8;0;18;30;1;4;0;9;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
20;6;179;1557;50;724;273;0;544;1413;33;3;13;0;8;28;10;0;0;21;39;31;45;15;6;13;1;3;1397;13;29;1018;553;31;10;26;15;0;137;49;14;19;3;34;1511;271;362;398;14;25;21;1041;1357;12;22;3;1072;24;0;26;2;1365;32;761;0;1283;1199;5;1097;8;32;0;0;13;0;0;19;2;49;0;8;16;2;27;1;34;7;5;17;1;17;0;9;28;0;2;0;1;9;4;0;11;25;4;0;25;9;3;3;11;9;143;12;0;1;5;6;0;16;25;0;0;15;4;27;1;2;0;0;12;24;17;8;14;2;0;5;2;0;16;0;386;2;0;7;25;0;0;1;6;16;1;1;14;26;3;19;7;1;0;9;2;3;2;5;0;0;0;0;9;14;0;2;11;3;1;0;2;11;0;7;1;0;0;0;1;11;0;18;2;0;0;3;2;3;0;2;5;0;14;4;1;10;0;0;1;0;54;0;6;1;16;5;1;4;12;7;0;3;0;4;2;0;2;1;0;0;2;3;0;0;0;1;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0
21;0;5;97;0;64;47;0;71;94;3;0;1;0;0;4;2;0;0;0;6;1;2;1;0;3;7;3;92;0;11;115;56;4;2;5;1;0;22;10;4;5;0;1;128;0;24;82;1;3;2;73;108;5;3;0;111;6;0;4;0;127;0;121;0;63;59;0;76;0;0;0;0;0;3;0;5;0;0;0;4;0;1;1;1;0;0;0;2;0;0;3;0;2;0;0;0;0;0;0;0;2;5;0;0;2;3;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;5;0;3;1;0;0;0;1;3;0;0;1;1;0;0;2;0;0;0;34;0;0;0;5;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;5;2;0;0;196;38;0;58;170;2;5;12;0;1;4;3;0;0;6;6;3;11;2;0;9;2;11;187;0;1;164;97;0;0;15;6;0;1;7;6;7;0;9;83;29;47;0;10;1;0;171;144;2;2;0;166;40;10;0;1;62;4;193;0;121;180;0;149;0;0;1;0;0;0;0;0;0;0;0;8;9;0;6;2;12;5;0;1;41;2;7;1;6;0;1;0;1;0;0;0;0;14;1;0;3;2;0;17;2;0;4;1;0;0;0;0;0;1;2;0;0;4;5;4;0;0;0;0;0;2;2;0;2;0;1;0;0;0;0;0;0;0;0;0;2;13;0;0;0;1;0;3;3;6;2;0;0;0;4;7;2;0;0;0;0;0;0;0;5;0;0;1;0;0;3;0;0;5;0;1;0;0;0;0;0;0;0;5;1;0;0;0;0;2;1;0;1;1;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;24;1;6;0;0;0;0;0;0;0
23;0;0;0;0;1;16;0;5;18;0;0;1;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;13;0;0;18;0;0;0;1;0;0;0;1;2;1;0;0;4;0;0;0;2;1;0;0;1;0;0;0;21;0;0;0;0;1;0;22;0;10;8;0;21;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;1;631;0;667;170;0;634;1752;1;0;446;3;2;2;2;2;0;77;2;9;40;3;3;2;2;1;1570;0;9;1454;690;5;0;13;1;3;44;13;92;8;1;1;2357;288;89;495;74;3;311;1788;1421;0;3;0;1615;11;1;6;1;2447;0;517;0;1992;1590;2;1476;3;5;0;0;19;6;2;7;0;0;0;3;21;1;4;1;15;0;1;2;0;1;4;6;6;0;2;0;1;1;4;1;18;6;0;0;8;6;0;1;0;0;24;5;0;0;3;19;0;21;6;0;0;4;4;5;0;3;1;3;7;4;1;4;9;1;2;1;3;0;0;3;24;0;238;3;3;0;0;83;2;0;2;0;7;1;0;0;1;0;2;1;5;1;1;3;0;0;2;1;0;125;172;2;1;1;1;1;1;3;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;2;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
25;2;244;162;0;3437;265;0;601;5790;20;2;2;0;5;15;7;0;0;9;25;16;22;4;3;18;2;9;8194;3;18;9057;2193;26;1;20;8;10;144;17;16;12;7;20;7834;17;1081;821;3;17;1454;2428;8683;8;21;3;8219;22;2;17;4;7185;0;2556;0;8760;7096;7;7991;11;21;2;0;0;5;0;17;10;1;0;18;7;5;19;1;20;7;4;13;0;12;8;19;21;2;4;1;12;7;4;0;5;28;0;6;23;7;12;5;7;7;9;28;0;3;3;11;1;12;25;0;0;40;16;24;0;0;0;2;6;22;22;0;5;9;0;3;1;0;2;0;823;0;0;16;11;0;11;37;0;10;1;0;26;28;13;22;6;0;5;10;4;8;1;8;0;3;7;5;18;4;1;15;3;2;8;1;6;5;1;5;0;1;0;0;4;2;0;7;6;0;0;1;14;11;0;3;11;0;6;3;11;9;0;0;2;13;70;0;14;4;1;1;6;0;8;5;0;2;6;0;0;0;0;2;4;0;11;6;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;18;202;0;91;157;0;54;711;1;0;3;0;3;0;0;0;0;9;3;2;9;0;0;0;0;0;678;0;0;504;117;6;1;2;0;1;106;12;9;1;3;3;500;11;0;180;1;1;56;199;247;2;3;1;631;0;0;0;0;569;1;560;0;444;517;0;453;1;8;0;0;1;0;0;4;0;0;0;3;1;3;12;0;5;3;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;7;0;0;3;6;2;1;0;0;2;5;0;0;0;0;0;3;3;0;0;5;0;3;0;0;0;0;3;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;4;3;0;1;1;2;0;0;0;3;0;2;0;0;0;0;3;2;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
27;31;1038;0;0;2966;159;0;4;521;152;9;17;0;1;170;84;0;0;6;101;61;9;48;5;150;0;79;1597;36;6;1586;651;0;13;37;141;0;4;76;27;51;0;17;506;1493;2157;4;13;17;1;430;1428;1;149;3;1442;61;28;79;2;437;13;625;0;784;908;1;1528;1;4;17;0;0;1;0;1;12;0;0;6;85;3;13;2;67;16;1;40;2334;176;28;5;104;2;4;1;21;0;1;0;4;25;2;0;41;6;63;133;96;0;672;8;0;3;0;0;0;5;22;0;0;9;126;24;0;0;0;0;0;106;81;11;4;5;1;1;0;0;0;0;0;0;0;6;95;38;43;0;0;24;0;63;3;29;71;89;11;0;5;35;2;25;0;7;0;1;0;1;23;0;0;1;1;0;3;0;0;82;0;266;0;0;4;0;0;20;0;35;89;0;0;3;0;142;25;22;77;47;0;0;29;7;0;0;14;19;281;2;22;17;8;23;0;13;55;27;8;19;0;0;2;13;7;32;4;9;10;25;17;0;0;10;9;0;31;20;0;0;0;338;19;404;0;9;8;0;0;0;0
28;11;237;3;22;7768;381;0;988;7494;65;13;7;0;10;61;24;0;0;37;40;68;45;38;17;96;25;28;9716;19;34;5549;2603;9;30;99;52;24;23;107;48;48;2;19;10018;661;957;163;28;56;0;4240;4908;82;50;7;9018;63;12;38;42;8704;26;4336;0;9082;9177;2;10715;25;55;0;0;14;27;0;39;26;0;0;12;16;1;31;10;77;30;4;36;2310;50;35;24;63;4;68;7;78;10;12;0;21;85;0;0;34;38;17;20;8;4;84;11;0;3;13;12;0;16;63;0;0;68;46;134;3;0;1;0;5;43;47;1;13;4;2;8;1;0;0;1;1;0;11;28;60;20;3;0;9;21;3;115;15;43;33;47;5;1;13;68;4;22;4;15;0;2;11;17;38;1;0;22;9;3;19;0;6;28;0;62;0;0;0;0;1;7;0;33;38;5;1;8;12;8;1;6;10;7;0;9;3;17;0;2;0;24;29;4;14;6;4;12;2;4;1;5;3;12;1;9;1;10;5;9;0;0;0;6;5;0;0;7;7;0;3;37;0;1;11;329;14;122;0;0;0;0;0;0;0
29;7;2261;29;268;8305;832;0;1405;4178;167;3;47;0;30;211;103;1;0;203;185;204;147;75;5;333;258;131;4495;48;240;6445;6829;242;70;142;68;165;11;304;172;147;61;104;4900;2173;4721;885;101;77;2259;3986;10000;215;177;37;5829;201;29;150;0;5023;16;4191;0;5746;4587;35;5948;43;116;0;0;3;82;1;268;25;311;1;83;140;10;156;5;334;121;4;121;1795;67;78;51;189;30;19;0;90;2;3;1;79;249;24;8;93;91;12;115;14;38;1373;43;2;3;18;52;2;90;150;0;0;287;226;135;4;8;0;23;15;99;99;11;26;19;10;5;4;1;1277;0;4643;1;2123;75;137;39;23;38;16;38;4;3;72;231;94;54;37;12;23;156;15;55;4;20;3;11;25;4;29;71;468;26;25;6;9;0;12;46;1;730;0;2;0;0;14;3;0;49;0;10;2;7;24;59;0;28;16;13;0;3;35;40;0;270;6;0;1;25;17;0;29;0;34;0;1;11;0;2;1;2;0;9;0;13;0;0;2;2;1;1;0;0;0;0;6;0;0;0;3;320;2;3;0;0;0;0;0;0;0
30;2;304;88;1;1438;402;0;388;2661;15;0;23;0;9;29;8;0;0;7;26;21;24;15;1;23;0;8;2008;11;10;2231;983;20;16;23;20;4;69;20;5;18;12;14;1342;4;719;31;3;13;749;547;1831;22;18;0;1936;7;4;4;1;1834;5;1407;0;1612;1527;0;1343;3;29;0;0;1;1;0;13;6;35;0;14;11;6;20;1;34;9;4;17;0;13;5;18;14;0;16;0;9;2;2;0;7;24;0;4;11;8;14;30;8;14;214;16;0;1;1;3;0;8;10;0;0;35;22;26;1;1;0;1;3;10;13;0;12;5;0;0;0;0;11;0;687;0;1;15;7;2;15;7;2;20;0;0;20;23;22;19;1;1;5;29;2;10;3;7;0;8;6;0;15;5;3;4;5;5;7;0;5;10;0;27;0;0;0;0;1;1;0;12;3;0;0;4;3;23;0;10;7;19;1;11;16;3;0;0;3;4;2;0;20;0;6;2;3;1;0;14;0;0;0;2;0;11;1;3;2;3;18;11;0;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
31;9;56;0;0;538;49;0;39;181;32;5;1;0;0;113;41;0;0;41;27;24;23;20;1;67;0;99;342;1;0;462;339;1;4;34;14;0;0;62;5;25;0;13;328;189;356;2;45;9;0;300;408;4;23;1;465;157;26;30;0;327;0;402;0;408;318;1;546;3;0;0;0;0;0;0;0;2;0;0;26;31;0;7;7;42;11;0;27;1030;16;25;3;48;10;5;0;6;0;0;0;12;59;1;0;16;5;13;89;12;0;64;13;0;2;0;1;0;6;21;0;1;12;36;4;0;1;0;0;0;27;13;1;6;0;0;1;0;0;0;0;1;0;0;3;34;31;16;0;0;6;0;29;0;5;0;38;1;0;8;72;0;11;2;2;0;8;2;1;1;0;0;2;2;0;0;0;0;17;0;15;0;0;0;4;0;8;0;22;29;1;0;1;1;16;10;5;15;8;0;1;12;2;0;0;17;15;12;0;12;1;2;0;0;5;3;7;2;9;1;0;1;0;1;0;0;2;1;11;12;0;0;0;0;0;0;6;0;0;0;30;0;11;0;2;4;0;0;0;0
