"sp";"dispersal.category";"exponential.rate";"replicate";"dispersal.distance"
"sp28";"dk01";0,9;3;1,86357717552921
"sp29";"dk01";0,9;3;1,70365282842453
"sp01";"dk01";0,9;3;1,65267005970787
"sp05";"dk01";0,9;3;1,50271363034316
"sp06";"dk01";0,9;3;1,4760127094004
"sp07";"dk01";0,9;3;1,42374713590047
"sp08";"dk01";0,9;3;1,37209280078909
"sp13";"dk01";0,9;3;1,35596970195043
"sp18";"dk01";0,9;3;1,24910782707534
"sp20";"dk01";0,9;3;1,20796023656396
"sp21";"dk01";0,9;3;0,747866111600565
"sp24";"dk01";0,9;3;0,734920180920098
"sp30";"dk01";0,9;3;0,654479279182851
"sp02";"dk01";0,9;3;0,534521422555877
"sp09";"dk01";0,9;3;0,502984711072511
"sp10";"dk01";0,9;3;0,447892632024984
"sp12";"dk01";0,9;3;0,330907333509106
"sp15";"dk01";0,9;3;0,328231734844546
"sp17";"dk01";0,9;3;0,314377734644545
"sp19";"dk01";0,9;3;0,15276795408378
"sp23";"dk01";0,9;3;0,132239673915133
"sp25";"dk01";0,9;3;0,112936487421393
"sp26";"dk01";0,9;3;0,0984639297376564
"sp27";"dk01";0,9;3;0,0644619063839056
"sp10";"dk01";0,9;4;4,88757722524559
"sp11";"dk01";0,9;4;2,22579872433281
"sp13";"dk01";0,9;4;2,12905828935176
"sp15";"dk01";0,9;4;2,08276225244604
"sp26";"dk01";0,9;4;1,95287245212929
"sp27";"dk01";0,9;4;1,57061531716522
"sp07";"dk01";0,9;4;1,3663918979827
"sp14";"dk01";0,9;4;1,35661568281023
"sp19";"dk01";0,9;4;1,28544107281799
"sp01";"dk01";0,9;4;1,19754685657274
"sp05";"dk01";0,9;4;0,944811706901935
"sp08";"dk01";0,9;4;0,899802621423625
"sp16";"dk01";0,9;4;0,864982819829776
"sp21";"dk01";0,9;4;0,849976431862368
"sp22";"dk01";0,9;4;0,778465717984253
"sp23";"dk01";0,9;4;0,754723889339301
"sp24";"dk01";0,9;4;0,705178063362837
"sp30";"dk01";0,9;4;0,592752738027937
"sp02";"dk01";0,9;4;0,492695842145218
"sp03";"dk01";0,9;4;0,486679413976769
"sp04";"dk01";0,9;4;0,343759169087905
"sp06";"dk01";0,9;4;0,342644723030099
"sp09";"dk01";0,9;4;0,337190757919517
"sp12";"dk01";0,9;4;0,336827244265617
"sp17";"dk01";0,9;4;0,321598971480789
"sp18";"dk01";0,9;4;0,308011483608021
"sp20";"dk01";0,9;4;0,271696119776203
"sp25";"dk01";0,9;4;0,0476822541612718
"sp28";"dk01";0,9;4;0,0192321195370621
"sp29";"dk01";0,9;4;0,00640549903942479
"sp12";"dk01";0,9;5;2,88348058477725
"sp07";"dk01";0,9;5;1,84404586328999
"sp18";"dk01";0,9;5;1,84063974376612
"sp20";"dk01";0,9;5;1,64261142913567
"sp21";"dk01";0,9;5;1,54635500519156
"sp28";"dk01";0,9;5;1,36313965228996
"sp29";"dk01";0,9;5;1,33898960421782
"sp01";"dk01";0,9;5;1,27328172424901
"sp05";"dk01";0,9;5;1,20354145967597
"sp06";"dk01";0,9;5;1,15939480329982
"sp08";"dk01";0,9;5;1,150987495932
"sp10";"dk01";0,9;5;1,12646914910411
"sp13";"dk01";0,9;5;1,0195295698474
"sp15";"dk01";0,9;5;0,793579853643451
"sp16";"dk01";0,9;5;0,779821484570635
"sp19";"dk01";0,9;5;0,657323382070495
"sp24";"dk01";0,9;5;0,582217861277362
"sp26";"dk01";0,9;5;0,507788949439095
"sp02";"dk01";0,9;5;0,489338821628027
"sp03";"dk01";0,9;5;0,329542571885718
"sp04";"dk01";0,9;5;0,308776067362891
"sp09";"dk01";0,9;5;0,162235211270551
"sp11";"dk01";0,9;5;0,139995670049555
"sp14";"dk01";0,9;5;0,138787649468415
"sp17";"dk01";0,9;5;0,133425675613777
"sp22";"dk01";0,9;5;0,126341793051815
"sp23";"dk01";0,9;5;0,0767497697638141
"sp25";"dk01";0,9;5;0,056809170378579
"sp27";"dk01";0,9;5;0,0452282144159531
"sp30";"dk01";0,9;5;0,00276050320151841
"sp25";"dk01";0,9;6;5,11805963571013
"sp30";"dk01";0,9;6;3,53840378404861
"sp07";"dk01";0,9;6;3,1630501563139
"sp21";"dk01";0,9;6;3,00472706749278
"sp01";"dk01";0,9;6;2,68655003137957
"sp02";"dk01";0,9;6;2,35169440700846
"sp04";"dk01";0,9;6;2,26647041728698
"sp05";"dk01";0,9;6;2,23322567624121
"sp08";"dk01";0,9;6;1,69716090368499
"sp13";"dk01";0,9;6;1,46490604715514
"sp18";"dk01";0,9;6;1,03494392910237
"sp23";"dk01";0,9;6;1,00658780890506
"sp24";"dk01";0,9;6;1,0016421786974
"sp03";"dk01";0,9;6;0,981909876849599
"sp09";"dk01";0,9;6;0,949132781843027
"sp11";"dk01";0,9;6;0,940557939678113
"sp15";"dk01";0,9;6;0,670822837596966
"sp16";"dk01";0,9;6;0,641697387004064
"sp20";"dk01";0,9;6;0,623209399895536
"sp26";"dk01";0,9;6;0,613213187704484
"sp29";"dk01";0,9;6;0,603741585380501
"sp06";"dk01";0,9;6;0,527764139696956
"sp10";"dk01";0,9;6;0,479947354954978
"sp12";"dk01";0,9;6;0,430178491191732
"sp14";"dk01";0,9;6;0,305070963509052
"sp17";"dk01";0,9;6;0,293578132449113
"sp19";"dk01";0,9;6;0,233356549094121
"sp22";"dk01";0,9;6;0,0906857763128543
"sp27";"dk01";0,9;6;0,0292750680558599
"sp28";"dk01";0,9;6;0,00772984750154946
"sp23";"dk01";0,9;7;4,22892425392906
"sp28";"dk01";0,9;7;2,67220205095977
"sp29";"dk01";0,9;7;2,44595216550328
"sp03";"dk01";0,9;7;2,34307822929338
"sp18";"dk01";0,9;7;1,78023399775826
"sp30";"dk01";0,9;7;1,40301020293899
"sp04";"dk01";0,9;7;1,37728395349749
"sp06";"dk01";0,9;7;1,16785672799052
"sp16";"dk01";0,9;7;1,13365392816863
"sp19";"dk01";0,9;7;1,04852391195265
"sp26";"dk01";0,9;7;1,04588911657004
"sp01";"dk01";0,9;7;1,00692630844283
"sp05";"dk01";0,9;7;0,885631121234444
"sp07";"dk01";0,9;7;0,83170688905282
"sp12";"dk01";0,9;7;0,759942746824688
"sp17";"dk01";0,9;7;0,679921851389938
"sp21";"dk01";0,9;7;0,643911069362528
"sp22";"dk01";0,9;7;0,584507706678576
"sp24";"dk01";0,9;7;0,561178338506983
"sp25";"dk01";0,9;7;0,484206553341614
"sp02";"dk01";0,9;7;0,421191009485887
"sp08";"dk01";0,9;7;0,389895029883418
"sp09";"dk01";0,9;7;0,384216629382637
"sp10";"dk01";0,9;7;0,291473425531557
"sp11";"dk01";0,9;7;0,280923594724548
"sp13";"dk01";0,9;7;0,228030807856056
"sp14";"dk01";0,9;7;0,190974154199163
"sp15";"dk01";0,9;7;0,0802660888681809
"sp20";"dk01";0,9;7;0,0582869167778811
"sp27";"dk01";0,9;7;0,0520990878472718
"sp02";"dk01";0,9;8;4,74058716219473
"sp07";"dk01";0,9;8;2,59752046467201
"sp09";"dk01";0,9;8;2,49613457463953
"sp19";"dk01";0,9;8;2,31466282352048
"sp10";"dk01";0,9;8;1,64153116676419
"sp23";"dk01";0,9;8;1,61626606549425
"sp01";"dk01";0,9;8;1,44704543359877
"sp05";"dk01";0,9;8;1,42580821277666
"sp08";"dk01";0,9;8;1,36654010348321
"sp12";"dk01";0,9;8;1,21184253646567
"sp13";"dk01";0,9;8;1,11795694485243
"sp14";"dk01";0,9;8;0,956323322689878
"sp15";"dk01";0,9;8;0,917431644738902
"sp18";"dk01";0,9;8;0,792654209009976
"sp20";"dk01";0,9;8;0,76768062543124
"sp24";"dk01";0,9;8;0,684405645459063
"sp26";"dk01";0,9;8;0,611382589882447
"sp27";"dk01";0,9;8;0,581061016354296
"sp28";"dk01";0,9;8;0,516525763914409
"sp29";"dk01";0,9;8;0,447741633074151
"sp03";"dk01";0,9;8;0,374559434130788
"sp04";"dk01";0,9;8;0,286285584727097
"sp06";"dk01";0,9;8;0,273416357942753
"sp11";"dk01";0,9;8;0,195414555879931
"sp16";"dk01";0,9;8;0,140164716844946
"sp17";"dk01";0,9;8;0,074602791832553
"sp21";"dk01";0,9;8;0,0745844168381559
"sp22";"dk01";0,9;8;0,067403318050007
"sp25";"dk01";0,9;8;0,00632784536315335
"sp30";"dk01";0,9;8;0,00222099030310672
"sp07";"dk01";0,9;9;5,06841509264517
"sp11";"dk01";0,9;9;3,02477929934102
"sp08";"dk01";0,9;9;2,75607055866954
"sp16";"dk01";0,9;9;2,61148499310915
"sp02";"dk01";0,9;9;2,34323985239768
"sp04";"dk01";0,9;9;2,24339805327127
"sp05";"dk01";0,9;9;1,75030278032623
"sp10";"dk01";0,9;9;1,18416423180336
"sp14";"dk01";0,9;9;0,929277725693877
"sp17";"dk01";0,9;9;0,927214968075037
"sp21";"dk01";0,9;9;0,785465557588093
"sp01";"dk01";0,9;9;0,704343990008864
"sp06";"dk01";0,9;9;0,629943024056653
"sp12";"dk01";0,9;9;0,576222052590715
"sp15";"dk01";0,9;9;0,574693655491703
"sp18";"dk01";0,9;9;0,552018323602776
"sp22";"dk01";0,9;9;0,55109568612857
"sp23";"dk01";0,9;9;0,543520416960948
"sp24";"dk01";0,9;9;0,510005627599598
"sp26";"dk01";0,9;9;0,475458783718447
"sp27";"dk01";0,9;9;0,402222224511206
"sp28";"dk01";0,9;9;0,308043379853997
"sp30";"dk01";0,9;9;0,280050904033958
"sp03";"dk01";0,9;9;0,262134141392178
"sp09";"dk01";0,9;9;0,231434901037978
"sp13";"dk01";0,9;9;0,216169429585838
"sp19";"dk01";0,9;9;0,212460727844801
"sp20";"dk01";0,9;9;0,0645924820047286
"sp25";"dk01";0,9;9;0,0169849147399267
"sp29";"dk01";0,9;9;0,0164307935859901
"sp10";"dk01";0,9;10;4,51502774094383
"sp30";"dk01";0,9;10;4,02460728024284
"sp02";"dk01";0,9;10;2,92624597527157
"sp22";"dk01";0,9;10;2,29543194165431
"sp16";"dk01";0,9;10;2,01958984334207
"sp19";"dk01";0,9;10;1,99598333064652
"sp20";"dk01";0,9;10;1,75671488037311
"sp21";"dk01";0,9;10;1,3326080546558
"sp23";"dk01";0,9;10;1,24026989870073
"sp06";"dk01";0,9;10;1,23521548794675
"sp07";"dk01";0,9;10;1,22486833821651
"sp09";"dk01";0,9;10;1,19706528784869
"sp12";"dk01";0,9;10;0,982947792707006
"sp27";"dk01";0,9;10;0,917663259691804
"sp28";"dk01";0,9;10;0,887466713627881
"sp01";"dk01";0,9;10;0,878204934026951
"sp03";"dk01";0,9;10;0,740845259796414
"sp04";"dk01";0,9;10;0,680819200869236
"sp05";"dk01";0,9;10;0,656841569580138
"sp08";"dk01";0,9;10;0,634879164604677
"sp11";"dk01";0,9;10;0,603174484438366
"sp13";"dk01";0,9;10;0,594347562744386
"sp14";"dk01";0,9;10;0,58605145300842
"sp15";"dk01";0,9;10;0,552396418319808
"sp17";"dk01";0,9;10;0,494076831576725
"sp18";"dk01";0,9;10;0,307935150857601
"sp24";"dk01";0,9;10;0,248730475496915
"sp25";"dk01";0,9;10;0,225791947191788
"sp26";"dk01";0,9;10;0,147097769037434
"sp29";"dk01";0,9;10;0,134965161396336
"sp06";"dk02";0,7;1;6,83391122377525
"sp02";"dk02";0,7;1;6,31026747467443
"sp20";"dk02";0,7;1;5,29368339608618
"sp25";"dk02";0,7;1;5,16185169477344
"sp08";"dk02";0,7;1;4,91278916573361
"sp15";"dk02";0,7;1;4,22762930369214
"sp01";"dk02";0,7;1;2,91904506128519
"sp07";"dk02";0,7;1;2,29251067009061
"sp22";"dk02";0,7;1;2,14434192382081
"sp26";"dk02";0,7;1;2,00272763135948
"sp29";"dk02";0,7;1;1,89843210119607
"sp04";"dk02";0,7;1;1,77989630554788
"sp05";"dk02";0,7;1;1,69728285774585
"sp11";"dk02";0,7;1;1,63676540893488
"sp12";"dk02";0,7;1;1,12187465020743
"sp18";"dk02";0,7;1;1,11830606618863
"sp24";"dk02";0,7;1;1,03789012262006
"sp27";"dk02";0,7;1;0,941986740178226
"sp28";"dk02";0,7;1;0,828802012838423
"sp30";"dk02";0,7;1;0,778069118303912
"sp10";"dk02";0,7;1;0,620312792515116
"sp14";"dk02";0,7;1;0,619194321334362
"sp19";"dk02";0,7;1;0,55614147401814
"sp03";"dk02";0,7;1;0,510254617381309
"sp13";"dk02";0,7;1;0,325642290658184
"sp16";"dk02";0,7;1;0,240373946092457
"sp17";"dk02";0,7;1;0,14300337061286
"sp21";"dk02";0,7;1;0,142292105592787
"sp09";"dk02";0,7;1;0,0533725055200713
"sp23";"dk02";0,7;1;0,00929832791111299
"sp11";"dk02";0,7;2;4,0233946400603
"sp04";"dk02";0,7;2;3,19031426382005
"sp03";"dk02";0,7;2;2,87465845424477
"sp18";"dk02";0,7;2;2,64003962266363
"sp23";"dk02";0,7;2;2,53448927230838
"sp26";"dk02";0,7;2;2,47503259616434
"sp30";"dk02";0,7;2;2,21992078924139
"sp01";"dk02";0,7;2;1,9969517763036
"sp07";"dk02";0,7;2;1,89861573672041
"sp08";"dk02";0,7;2;1,85154702242317
"sp16";"dk02";0,7;2;1,72504697521203
"sp19";"dk02";0,7;2;1,66045762459467
"sp24";"dk02";0,7;2;1,26980710888331
"sp25";"dk02";0,7;2;1,24651700875239
"sp27";"dk02";0,7;2;1,01144033877298
"sp05";"dk02";0,7;2;0,871163502202502
"sp09";"dk02";0,7;2;0,857523365744523
"sp20";"dk02";0,7;2;0,719347369136305
"sp02";"dk02";0,7;2;0,654489272939307
"sp10";"dk02";0,7;2;0,459792404435575
"sp12";"dk02";0,7;2;0,457123975668635
"sp14";"dk02";0,7;2;0,412279582981552
"sp15";"dk02";0,7;2;0,40769654592233
"sp21";"dk02";0,7;2;0,392176846840552
"sp22";"dk02";0,7;2;0,306703660504094
"sp29";"dk02";0,7;2;0,302316056830542
"sp06";"dk02";0,7;2;0,298289903439581
"sp13";"dk02";0,7;2;0,238065415258954
"sp17";"dk02";0,7;2;0,00670589107487883
"sp28";"dk02";0,7;2;0,00303421102996383
"sp09";"dk02";0,7;3;5,45080224022065
"sp22";"dk02";0,7;3;4,78598398797689
"sp10";"dk02";0,7;3;3,4334035508663
"sp15";"dk02";0,7;3;3,21011641976115
"sp20";"dk02";0,7;3;3,08442705692015
"sp07";"dk02";0,7;3;3,00022816801133
"sp21";"dk02";0,7;3;2,63307988897736
"sp23";"dk02";0,7;3;2,16974703849132
"sp19";"dk02";0,7;3;1,95028278704585
"sp30";"dk02";0,7;3;1,83641110673932
"sp02";"dk02";0,7;3;1,81898666672794
"sp05";"dk02";0,7;3;1,79748306444034
"sp16";"dk02";0,7;3;1,67336972424347
"sp17";"dk02";0,7;3;1,60776414675006
"sp18";"dk02";0,7;3;1,48704398949616
"sp29";"dk02";0,7;3;1,44634072928941
"sp03";"dk02";0,7;3;1,33248965275184
"sp11";"dk02";0,7;3;1,25582359725196
"sp12";"dk02";0,7;3;1,13079542953374
"sp24";"dk02";0,7;3;0,881284630325224
"sp27";"dk02";0,7;3;0,848391221037933
"sp01";"dk02";0,7;3;0,813287143329425
"sp04";"dk02";0,7;3;0,739223866590432
"sp06";"dk02";0,7;3;0,48865895727663
"sp08";"dk02";0,7;3;0,375648056184622
"sp14";"dk02";0,7;3;0,213788035990936
"sp28";"dk02";0,7;3;0,211319203481931
"sp13";"dk02";0,7;3;0,182487393862435
"sp25";"dk02";0,7;3;0,0972484949901414
"sp26";"dk02";0,7;3;0,0208898407540151
"sp03";"dk02";0,7;4;4,85982893809087
"sp01";"dk02";0,7;4;3,14255055820394
"sp18";"dk02";0,7;4;3,01394122927238
"sp22";"dk02";0,7;4;2,52495584997453
"sp24";"dk02";0,7;4;2,51551093787725
"sp04";"dk02";0,7;4;2,31366808115077
"sp05";"dk02";0,7;4;2,24880628460977
"sp08";"dk02";0,7;4;2,00811541228128
"sp12";"dk02";0,7;4;1,97500520778939
"sp21";"dk02";0,7;4;1,967142302749
"sp25";"dk02";0,7;4;1,53560532783144
"sp28";"dk02";0,7;4;1,40941039653082
"sp10";"dk02";0,7;4;1,23885633066332
"sp11";"dk02";0,7;4;1,13474188100399
"sp30";"dk02";0,7;4;1,10722716891725
"sp02";"dk02";0,7;4;1,04998884344805
"sp27";"dk02";0,7;4;0,925648662793849
"sp29";"dk02";0,7;4;0,876468432668064
"sp09";"dk02";0,7;4;0,859723866118916
"sp14";"dk02";0,7;4;0,804584672940629
"sp15";"dk02";0,7;4;0,449988768717655
"sp16";"dk02";0,7;4;0,433589291067319
"sp20";"dk02";0,7;4;0,36291314555066
"sp23";"dk02";0,7;4;0,352750186971954
"sp26";"dk02";0,7;4;0,240082871168852
"sp06";"dk02";0,7;4;0,227666133349495
"sp07";"dk02";0,7;4;0,189634051972202
"sp13";"dk02";0,7;4;0,0467103330940345
"sp17";"dk02";0,7;4;0,0376799217026149
"sp19";"dk02";0,7;4;0,0368206429258277
"sp12";"dk02";0,7;5;8,61021414351137
"sp19";"dk02";0,7;5;6,49899957931648
"sp03";"dk02";0,7;5;4,49247711447144
"sp08";"dk02";0,7;5;4,07844167397151
"sp15";"dk02";0,7;5;2,66873682054225
"sp29";"dk02";0,7;5;2,04506661464831
"sp04";"dk02";0,7;5;2,01205467487813
"sp24";"dk02";0,7;5;1,66735364118178
"sp05";"dk02";0,7;5;1,13790661090572
"sp14";"dk02";0,7;5;1,01409230197343
"sp17";"dk02";0,7;5;0,937426573036783
"sp18";"dk02";0,7;5;0,915026579584394
"sp22";"dk02";0,7;5;0,911513587592968
"sp01";"dk02";0,7;5;0,775378059728869
"sp06";"dk02";0,7;5;0,652069209276566
"sp11";"dk02";0,7;5;0,635886916757694
"sp20";"dk02";0,7;5;0,629691409745387
"sp21";"dk02";0,7;5;0,602014573024852
"sp25";"dk02";0,7;5;0,591293008018369
"sp28";"dk02";0,7;5;0,504029857313506
"sp07";"dk02";0,7;5;0,477080012538603
"sp09";"dk02";0,7;5;0,433365759838905
"sp10";"dk02";0,7;5;0,363022478164307
"sp13";"dk02";0,7;5;0,227759148526405
"sp23";"dk02";0,7;5;0,21707114830081
"sp26";"dk02";0,7;5;0,187142048962414
"sp27";"dk02";0,7;5;0,125093518623284
"sp30";"dk02";0,7;5;0,0511941112148935
"sp02";"dk02";0,7;5;0,0350164340514385
"sp16";"dk02";0,7;5;0,0217429721461875
"sp01";"dk02";0,7;6;4,36551073100897
"sp26";"dk02";0,7;6;4,2452288203734
"sp07";"dk02";0,7;6;4,16285128441715
"sp09";"dk02";0,7;6;3,72609769375287
"sp12";"dk02";0,7;6;3,63905384852508
"sp11";"dk02";0,7;6;2,95446351956814
"sp13";"dk02";0,7;6;2,93543018920851
"sp03";"dk02";0,7;6;1,98821964794741
"sp06";"dk02";0,7;6;1,96222448715527
"sp25";"dk02";0,7;6;1,88872560054449
"sp28";"dk02";0,7;6;1,77419542195926
"sp30";"dk02";0,7;6;1,64680577143347
"sp19";"dk02";0,7;6;1,41520282779806
"sp20";"dk02";0,7;6;1,38138720197299
"sp24";"dk02";0,7;6;1,14230131343958
"sp27";"dk02";0,7;6;1,13605034398566
"sp05";"dk02";0,7;6;0,982055397970336
"sp14";"dk02";0,7;6;0,980550956114062
"sp16";"dk02";0,7;6;0,895688938908279
"sp17";"dk02";0,7;6;0,849876621338938
"sp23";"dk02";0,7;6;0,614629331310945
"sp29";"dk02";0,7;6;0,547561012873692
"sp02";"dk02";0,7;6;0,380192002889938
"sp04";"dk02";0,7;6;0,198170878301573
"sp08";"dk02";0,7;6;0,1922485053085
"sp10";"dk02";0,7;6;0,18069059717587
"sp15";"dk02";0,7;6;0,127922963481354
"sp18";"dk02";0,7;6;0,0806858530268073
"sp21";"dk02";0,7;6;0,0771459750831127
"sp22";"dk02";0,7;6;0,0214809779779529
"sp23";"dk02";0,7;7;7,63528694223646
"sp24";"dk02";0,7;7;7,3510611718311
"sp08";"dk02";0,7;7;7,28918686733215
"sp15";"dk02";0,7;7;5,32886139752405
"sp17";"dk02";0,7;7;4,87152287978622
"sp26";"dk02";0,7;7;4,33288899979458
"sp01";"dk02";0,7;7;4,20933854161976
"sp03";"dk02";0,7;7;2,5749917885951
"sp07";"dk02";0,7;7;2,40529680878694
"sp20";"dk02";0,7;7;2,26234646352647
"sp09";"dk02";0,7;7;1,97323206140912
"sp14";"dk02";0,7;7;1,76625541405339
"sp18";"dk02";0,7;7;1,64259829552431
"sp21";"dk02";0,7;7;1,58186486721809
"sp25";"dk02";0,7;7;1,51121156417218
"sp29";"dk02";0,7;7;1,30406728673579
"sp02";"dk02";0,7;7;1,29099736352683
"sp11";"dk02";0,7;7;1,09290811227221
"sp13";"dk02";0,7;7;1,05040244347387
"sp16";"dk02";0,7;7;0,82303588877299
"sp19";"dk02";0,7;7;0,745858097715037
"sp22";"dk02";0,7;7;0,702952878283603
"sp27";"dk02";0,7;7;0,687586019880005
"sp28";"dk02";0,7;7;0,588122553724263
"sp04";"dk02";0,7;7;0,565431014900761
"sp05";"dk02";0,7;7;0,514962246774563
"sp06";"dk02";0,7;7;0,405521396813648
"sp10";"dk02";0,7;7;0,163191000797919
"sp12";"dk02";0,7;7;0,0573139950366957
"sp30";"dk02";0,7;7;0,0462377571255836
"sp04";"dk02";0,7;8;5,18651611806887
"sp13";"dk02";0,7;8;4,95665857538377
"sp24";"dk02";0,7;8;4,2418719293544
"sp27";"dk02";0,7;8;3,76701292962991
"sp29";"dk02";0,7;8;3,16455324797268
"sp30";"dk02";0,7;8;2,12174503652883
"sp12";"dk02";0,7;8;1,97044040735664
"sp19";"dk02";0,7;8;1,54559492348812
"sp20";"dk02";0,7;8;1,50876470968512
"sp03";"dk02";0,7;8;1,50585782176002
"sp07";"dk02";0,7;8;1,22646981312081
"sp11";"dk02";0,7;8;1,15221694105823
"sp21";"dk02";0,7;8;0,754218769392797
"sp22";"dk02";0,7;8;0,675031806874488
"sp25";"dk02";0,7;8;0,674266712074833
"sp02";"dk02";0,7;8;0,630288706826312
"sp08";"dk02";0,7;8;0,622516796778158
"sp09";"dk02";0,7;8;0,587303908818297
"sp17";"dk02";0,7;8;0,557452231085284
"sp23";"dk02";0,7;8;0,552759027507688
"sp28";"dk02";0,7;8;0,506053223673786
"sp01";"dk02";0,7;8;0,502427709288895
"sp05";"dk02";0,7;8;0,500723389642579
"sp06";"dk02";0,7;8;0,488836503188525
"sp10";"dk02";0,7;8;0,435257941218359
"sp15";"dk02";0,7;8;0,248254169646227
"sp16";"dk02";0,7;8;0,246110288631557
"sp18";"dk02";0,7;8;0,167788213508149
"sp26";"dk02";0,7;8;0,134796116168359
"sp14";"dk02";0,7;8;0,124849045933569
"sp15";"dk02";0,7;9;9,19969252813938
"sp20";"dk02";0,7;9;5,06071493797864
"sp01";"dk02";0,7;9;4,07637944154917
"sp06";"dk02";0,7;9;3,97657835135638
"sp18";"dk02";0,7;9;3,7351058682443
"sp24";"dk02";0,7;9;3,35064256607056
"sp12";"dk02";0,7;9;2,12315414967864
"sp23";"dk02";0,7;9;1,78644694248865
"sp29";"dk02";0,7;9;1,60484054785075
"sp07";"dk02";0,7;9;1,55593601182488
"sp08";"dk02";0,7;9;1,47428952949773
"sp19";"dk02";0,7;9;1,09747021614349
"sp25";"dk02";0,7;9;1,06527933711837
"sp03";"dk02";0,7;9;0,976401306688786
"sp09";"dk02";0,7;9;0,86469149948763
"sp14";"dk02";0,7;9;0,703208104574255
"sp22";"dk02";0,7;9;0,624591314361755
"sp28";"dk02";0,7;9;0,508214652405254
"sp04";"dk02";0,7;9;0,46991239577524
"sp26";"dk02";0,7;9;0,434555422647723
"sp02";"dk02";0,7;9;0,426833048196776
"sp05";"dk02";0,7;9;0,393851853108832
"sp10";"dk02";0,7;9;0,3025179763231
"sp11";"dk02";0,7;9;0,276889587181251
"sp13";"dk02";0,7;9;0,24056054252599
"sp16";"dk02";0,7;9;0,24046322684962
"sp21";"dk02";0,7;9;0,16399727335998
"sp27";"dk02";0,7;9;0,151190599155512
"sp30";"dk02";0,7;9;0,118592656882746
"sp17";"dk02";0,7;9;0,0643833189030536
"sp27";"dk02";0,7;10;7,62677480291609
"sp01";"dk02";0,7;10;3,81331835722375
"sp10";"dk02";0,7;10;3,46395263858798
"sp18";"dk02";0,7;10;2,43550196251855
"sp25";"dk02";0,7;10;2,29253963954452
"sp29";"dk02";0,7;10;2,28519595881363
"sp04";"dk02";0,7;10;2,14274335640587
"sp06";"dk02";0,7;10;2,13081547377243
